Timestamp,Open,High,Low,Close,Volume
1780545840,25500.0,25500.0,25500.0,25500.0,60
1780545900,25500.0,25500.0,25500.0,25500.0,0
1780545960,25500.0,25500.0,25500.0,25500.0,0
1780546020,25500.0,25500.0,25500.0,25500.0,0
1780546080,25500.0,25500.0,25500.0,25500.0,0
1780546140,25500.0,25500.0,25500.0,25500.0,0
1780546200,25500.0,25500.0,25500.0,25500.0,0
1780546260,25500.0,25500.0,25500.0,25500.0,0
1780546320,25500.0,25500.0,25500.0,25500.0,0
1780546380,25500.0,25500.0,25500.0,25500.0,0
1780546440,25500.0,25500.0,25500.0,25500.0,0
1780546500,25500.0,25500.0,25500.0,25500.0,0
1780546560,25500.0,25500.0,25500.0,25500.0,0
1780546620,25500.0,25500.0,25500.0,25500.0,0
1780546680,25500.0,25500.0,25500.0,25500.0,0
1780546740,25500.0,25500.0,25500.0,25500.0,0
1780546800,25500.0,25500.0,25500.0,25500.0,0
1780546860,25500.0,25500.0,25500.0,25500.0,0
1780546920,25500.0,25500.0,25500.0,25500.0,0
1780546980,25500.0,25500.0,25500.0,25500.0,0
1780547040,25500.0,25500.0,25500.0,25500.0,0
1780547100,25500.0,25500.0,25500.0,25500.0,0
1780547160,25500.0,25500.0,25500.0,25500.0,0
1780547220,25500.0,25500.0,25500.0,25500.0,0
1780547280,25500.0,25500.0,25500.0,25500.0,0
1780547340,25500.0,25500.0,25500.0,25500.0,0
1780547400,25500.0,25500.0,25500.0,25500.0,0
1780547460,25500.0,25500.0,25500.0,25500.0,0
1780547520,25500.0,25500.0,25500.0,25500.0,0
1780547580,25500.0,25500.0,25500.0,25500.0,0
1780547640,25500.0,25500.0,25500.0,25500.0,0
1780547700,25500.0,25500.0,25500.0,25500.0,0
1780547760,25500.0,25500.0,25500.0,25500.0,0
1780547820,25500.0,25500.0,25500.0,25500.0,0
1780547880,25500.0,25500.0,25500.0,25500.0,0
1780547940,25500.0,25500.0,25500.0,25500.0,0
1780548000,25500.0,25500.0,25500.0,25500.0,0
1780548060,25500.0,25500.0,25500.0,25500.0,0
1780548120,25500.0,25500.0,25500.0,25500.0,0
1780548180,25500.0,25500.0,25500.0,25500.0,0
1780548240,25500.0,25500.0,25500.0,25500.0,0
1780548300,25500.0,25500.0,25500.0,25500.0,0
1780548360,25500.0,25500.0,25500.0,25500.0,0
1780548420,25500.0,25500.0,25500.0,25500.0,0
1780548480,25500.0,25500.0,25500.0,25500.0,0
1780548540,25500.0,25500.0,25500.0,25500.0,0
1780548600,25500.0,25500.0,25500.0,25500.0,0
1780548660,25500.0,25500.0,25500.0,25500.0,0
1780548720,25500.0,25500.0,25500.0,25500.0,0
1780548780,25500.0,25500.0,25500.0,25500.0,0
1780548840,25500.0,25500.0,25500.0,25500.0,0
1780548900,25500.0,25500.0,25500.0,25500.0,0
1780548960,25500.0,25500.0,25500.0,25500.0,0
1780549020,25500.0,25500.0,25500.0,25500.0,0
1780549080,25500.0,25500.0,25500.0,25500.0,0
1780549140,25500.0,25500.0,25500.0,25500.0,0
1780549200,25500.0,25500.0,25500.0,25500.0,0
1780549260,25500.0,25500.0,25500.0,25500.0,0
1780549320,25500.0,25500.0,25500.0,25500.0,0
1780549380,25500.0,25500.0,25500.0,25500.0,0
1780549440,25500.0,25500.0,25500.0,25500.0,0
1780549500,25500.0,25500.0,25500.0,25500.0,0
1780549560,25500.0,25500.0,25500.0,25500.0,0
1780549620,25500.0,25500.0,25500.0,25500.0,0
1780549680,25500.0,25500.0,25500.0,25500.0,0
1780549740,25500.0,25500.0,25500.0,25500.0,0
1780549800,25500.0,25500.0,25500.0,25500.0,0
1780549860,25500.0,25500.0,25500.0,25500.0,0
1780549920,25500.0,25500.0,25500.0,25500.0,0
1780549980,25500.0,25500.0,25500.0,25500.0,0
1780550040,25500.0,25500.0,25500.0,25500.0,0
1780550100,25500.0,25500.0,25500.0,25500.0,0
1780550160,25500.0,25500.0,25500.0,25500.0,0
1780550220,25500.0,25500.0,25500.0,25500.0,0
1780550280,25500.0,25500.0,25500.0,25500.0,0
1780550340,25500.0,25500.0,25500.0,25500.0,0
1780550400,25500.0,25500.0,25500.0,25500.0,0
1780550460,25500.0,25500.0,25500.0,25500.0,0
1780550520,25500.0,25500.0,25500.0,25500.0,0
1780550580,25500.0,25500.0,25500.0,25500.0,0
1780550640,25500.0,25500.0,25500.0,25500.0,0
1780550700,25500.0,25500.0,25500.0,25500.0,0
1780550760,25500.0,25500.0,25500.0,25500.0,0
1780550820,25500.0,25500.0,25500.0,25500.0,0
1780550880,25500.0,25500.0,25500.0,25500.0,0
1780550940,25500.0,25500.0,25500.0,25500.0,0
1780551000,25500.0,25500.0,25500.0,25500.0,0
1780551060,25500.0,25500.0,25500.0,25500.0,0
1780551120,25500.0,25500.0,25500.0,25500.0,0
1780551180,25500.0,25500.0,25500.0,25500.0,0
1780551240,25500.0,25500.0,25500.0,25500.0,0
1780551300,25500.0,25500.0,25500.0,25500.0,0
1780551360,25500.0,25500.0,25500.0,25500.0,0
1780551420,25500.0,25500.0,25500.0,25500.0,0
1780551480,25500.0,25500.0,25500.0,25500.0,0
1780551540,25500.0,25500.0,25500.0,25500.0,0
1780551600,25500.0,25500.0,25500.0,25500.0,0
1780551660,25500.0,25500.0,25500.0,25500.0,0
1780551720,25500.0,25500.0,25500.0,25500.0,0
1780551780,25500.0,25500.0,25500.0,25500.0,0
